frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_7,ID_8,ID_11,ID_13
0,"(1887,2807)","(1662,2772)","(787,2686)","(1950,2645)","(1930,2555)","(322,2165)",,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,"(1885,2807)","(1670,2808)","(673,2709)",,"(1928,2554)","(325,2149)",,,,
6,"(1886,2806)","(1675,2818)","(674,2709)",,"(1929,2554)","(326,2146)",,,,
7,"(1886,2806)","(1681,2833)","(673,2709)",,"(1927,2554)","(327,2143)",,,,
8,"(1886,2806)","(1681,2843)","(673,2708)","(1949,2645)","(1929,2554)","(326,2140)",,,,
9,"(1886,2805)","(1682,2849)","(670,2703)",,"(1927,2553)","(326,2138)",,,,
10,"(1885,2804)","(1681,2851)","(663,2693)",,"(1927,2552)","(325,2138)",,,,
11,"(1885,2804)","(1684,2859)","(655,2687)",,"(1926,2552)","(326,2136)",,,,
12,"(1885,2804)","(1685,2862)","(651,2686)",,"(1927,2552)","(326,2134)",,,,
13,"(1885,2804)","(1682,2863)","(647,2686)",,,"(325,2134)",,,,
14,"(1885,2804)","(1682,2865)","(647,2688)",,"(1926,2552)","(326,2131)",,,,
15,"(1886,2805)","(1682,2866)","(648,2689)",,"(1927,2553)","(328,2128)",,,,
16,"(1885,2806)","(1682,2867)","(647,2690)",,"(1927,2553)","(326,2125)",,,,
17,"(1886,2806)","(1681,2866)","(648,2691)",,"(1927,2553)","(327,2123)",,,,
18,"(1886,2806)","(1681,2864)","(650,2697)",,"(1927,2554)","(326,2123)",,,,
19,"(1886,2807)","(1681,2863)","(650,2701)",,"(1928,2554)","(327,2125)",,,,
20,"(1887,2807)","(1682,2863)","(652,2703)",,"(1929,2554)","(327,2125)",,,,
21,"(1887,2807)","(1682,2864)","(649,2706)",,"(1928,2554)","(327,2125)",,,,
22,"(1887,2807)","(1687,2906)","(647,2708)",,"(1928,2555)","(327,2126)",,,,
23,"(1887,2808)","(1693,2941)","(645,2708)",,"(1929,2555)","(327,2126)",,,,
24,"(1887,2808)","(1738,2970)","(645,2706)",,"(1929,2555)","(327,2130)",,,,
25,"(1887,2807)",,"(645,2705)",,"(1927,2555)","(328,2131)",,,,
26,"(1887,2808)",,"(646,2705)",,"(1929,2556)","(329,2132)",,,,
27,"(1887,2809)",,"(645,2707)","(1950,2648)","(1930,2556)","(327,2134)",,,,
28,"(1887,2809)",,"(645,2706)",,,"(328,2134)",,,,
29,"(1887,2808)",,"(645,2706)","(1950,2647)","(1929,2556)","(328,2135)",,,,
30,"(1887,2808)",,"(637,2730)",,"(1929,2556)","(327,2135)","(1370,2883)",,,
31,"(1887,2808)",,"(613,2661)",,"(1929,2556)","(327,2135)","(1370,2879)",,,
32,"(1887,2808)",,,,"(1929,2556)","(327,2135)","(1369,2872)",,,
