frame,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_27,ID_28,ID_29,ID_30,ID_31,ID_32,ID_33,ID_34,ID_36,ID_37,ID_39,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50
0,"(124,1049)","(859,851)","(1354,850)","(949,763)","(103,466)","(1361,294)","(1323,183)","(1267,138)","(457,102)","(486,75)","(435,68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,"(861,853)","(1352,851)","(947,764)","(101,468)","(1358,298)","(1322,184)","(1266,139)","(455,104)","(484,75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"(857,852)","(1353,851)","(947,765)","(98,468)","(1358,295)","(1321,185)","(1265,140)","(455,104)","(484,77)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,"(857,852)","(1352,851)","(947,764)","(101,468)","(1361,297)","(1321,184)","(1265,139)","(460,106)","(484,77)","(434,69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"(859,854)","(1352,851)","(946,765)","(101,468)","(1361,297)","(1320,184)","(1264,139)","(455,104)","(484,77)","(433,69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"(857,852)","(1353,851)","(947,764)","(102,467)","(1359,295)","(1321,184)","(1265,139)","(456,103)","(484,75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"(858,851)","(1355,853)","(944,762)","(102,467)","(1361,296)","(1321,183)","(1266,140)","(456,103)","(485,74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,"(858,852)","(1354,850)","(944,763)","(100,467)","(1360,294)","(1322,183)","(1266,140)","(457,103)","(485,75)","(435,68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"(862,852)","(1354,850)","(948,763)","(99,466)","(1361,295)","(1322,182)","(1266,140)","(456,102)","(486,73)","(435,67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,"(859,850)","(1355,849)","(949,762)","(101,465)","(1362,293)","(1322,181)","(1267,139)","(457,101)","(486,74)","(436,67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,"(859,850)","(1355,849)","(950,762)","(101,465)","(1362,292)","(1322,181)","(1268,139)","(458,102)","(487,74)","(436,67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,"(858,850)","(1355,849)","(950,762)","(104,465)","(1362,292)","(1322,181)","(1267,140)","(458,101)","(487,74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"(124,1049)","(858,850)","(1355,849)","(950,762)","(104,465)","(1362,293)","(1322,181)","(1267,140)","(458,101)","(487,74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"(123,1049)","(858,851)","(1355,849)","(949,763)","(100,466)","(1362,293)","(1322,182)","(1267,140)","(462,104)","(486,75)","(436,67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,"(857,852)","(1355,849)","(950,763)","(101,466)","(1362,293)","(1322,182)","(1267,141)","(463,104)","(487,75)","(436,68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"(123,1050)","(860,854)","(1355,850)","(949,763)","(100,466)","(1362,293)","(1322,183)","(1267,141)","(457,102)","(486,75)","(436,68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,"(858,855)","(1354,851)","(949,764)","(100,467)","(1360,294)","(1321,184)","(1266,142)","(461,105)","(486,76)","(435,69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"(857,856)","(1354,851)","(948,764)","(99,468)","(1361,296)","(1320,184)","(1266,143)","(461,105)","(485,76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,"(857,856)","(1353,851)","(948,764)","(99,468)","(1359,295)","(1319,184)","(1264,144)","(456,105)","(485,74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,"(857,857)",,"(948,765)","(99,469)","(1361,297)","(1320,185)","(1265,144)","(461,106)","(485,78)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,"(857,856)","(1353,851)","(943,763)","(98,468)","(1358,295)","(1319,184)","(1264,143)","(461,106)","(489,78)","(433,70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,"(854,856)","(1353,852)","(943,764)","(98,468)","(1359,295)","(1319,184)","(1263,143)","(460,106)","(489,76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,"(857,856)","(1353,851)","(947,765)","(101,468)","(1359,294)","(1319,184)","(1264,143)","(460,106)","(484,76)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,"(854,855)","(1353,851)","(947,765)","(101,467)","(1358,294)","(1318,183)","(1263,143)","(460,105)","(484,73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"(857,856)","(1353,850)","(947,764)","(101,467)","(1359,293)","(1318,183)","(1264,143)","(459,105)","(484,75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"(122,1049)","(858,855)","(1353,850)","(944,762)","(98,467)","(1358,293)","(1318,183)","(1263,142)","(460,104)","(484,73)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"(122,1049)","(858,855)","(1353,849)","(944,761)","(99,466)","(1360,292)","(1319,182)","(1264,142)","(461,103)","(485,75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"(123,1049)","(858,855)","(1354,850)","(945,762)","(100,466)","(1360,292)","(1319,182)","(1264,142)","(461,103)","(490,74)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"(123,1049)","(859,855)","(1354,849)","(945,761)","(100,466)","(1361,292)","(1319,182)","(1265,142)","(461,103)","(486,72)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"(123,1049)","(859,855)","(1354,849)","(949,763)","(103,465)","(1361,292)","(1319,181)","(1266,141)","(462,102)","(486,71)","(435,66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"(857,854)","(1354,849)","(945,761)","(103,465)","(1361,292)","(1320,181)","(1266,141)","(462,102)","(486,72)","(436,66)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,"(857,855)","(1354,849)","(945,761)","(104,466)","(1362,293)","(1321,182)","(1267,141)","(463,103)","(487,72)","(437,67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,"(858,854)","(1354,849)","(945,761)","(104,466)","(1362,293)","(1320,182)","(1266,141)","(463,103)","(487,72)","(436,67)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"(123,1050)","(857,854)","(1354,850)","(948,764)","(103,467)","(1362,294)","(1321,184)","(1265,143)","(462,104)","(486,74)","(436,68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,"(861,855)","(1354,850)","(948,763)","(103,466)","(1362,294)","(1320,184)","(1265,144)","(462,104)","(485,75)","(436,68)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,"(858,855)","(1353,851)","(947,765)","(103,467)","(1361,295)","(1320,185)","(1264,146)","(462,105)","(486,76)","(436,69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,"(857,856)","(1353,851)","(947,765)","(100,468)","(1360,295)","(1320,186)","(1263,146)","(461,106)","(485,76)","(435,70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,"(857,856)","(1353,852)","(946,765)","(102,468)","(1359,295)","(1320,186)","(1264,143)","(461,106)","(485,77)","(435,70)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"(857,856)","(1353,852)","(946,766)","(102,469)","(1359,296)","(1319,187)","(1261,148)","(461,106)","(484,77)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,"(856,855)","(1353,852)","(946,765)","(102,468)","(1359,295)","(1320,187)","(1261,148)","(461,106)","(489,78)","(435,69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,"(856,855)","(1352,851)","(945,765)","(101,467)","(1359,295)","(1319,187)","(1260,148)","(460,106)","(484,76)","(434,69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,"(856,855)","(1352,852)","(946,765)","(102,468)","(1359,295)","(1320,186)","(1260,148)","(461,106)","(484,76)","(435,69)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
